Species Name,C,O,N,S,MolWeight,Henry,"log10VpSIMPOL, 298K","log10VpSIMPOL, 400K",log10Vp_MC298K,log10Vp_MC400K,alkyl OH,aromatic OH,aldehyde,ketone,acid,ROOH,per acid,ester,alkyl ether,alicyclic ether,aromatic ether,peroxide,nitrate,nitro
C918NO3,9,5,1,0,215.205,4464285.714,-7.148148407,-4.033769648,-6.215600794,-2.410756895,0,0,1,1,0,0,0,0,1,0,0,0,1,0
C134CO,13,6,0,0,270.281,2.48E+16,-10.54309796,-7.085321929,-9.254874668,-4.004311001,1,0,0,5,0,0,0,0,0,0,0,0,0,0
NBUTACET,6,2,0,0,116.16,2.43902439,-1.887413781,0.055977659,-3.186415754,-0.739317843,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C124O2,12,4,0,0,229.296,6289308.176,-5.830884403,-3.074187829,-7.145355629,-2.896904237,0,0,0,2,0,0,0,0,1,0,0,0,0,0
PROL1MPAN,5,6,1,0,179.128,23.31002331,-6.537169042,-3.064997554,-5.518188537,-2.017072707,1,0,0,0,0,0,0,1,1,0,0,0,1,0
BCCOOH,15,3,0,0,254.37,375939.8496,-9.302787721,-5.198123509,-7.657725041,-3.179507167,1,0,0,0,0,1,0,0,0,0,0,0,0,0
IPRHOCO2H,4,3,0,0,104.105,6622.516556,-5.551651108,-2.131371335,-3.564773596,-0.908244074,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TM124NO2O,8,7,1,0,232.168,14836795252,-8.577567618,-5.27962989,-7.347383177,-3.002254986,2,0,0,0,0,0,0,0,0,0,0,1,0,1
C3EODBCO2H,6,3,0,0,128.127,2873563.218,-5.645171939,-2.44262184,-4.105999808,-1.227690246,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DMEBPOXMUC,10,3,0,0,182.219,833333.3333,-5.456620909,-2.767866085,-5.571968194,-2.048062816,0,0,1,1,0,0,0,0,0,1,0,0,0,0
DNMXYOLOOH,8,10,2,0,294.172,4.65E+15,-13.12929852,-8.190261158,-8.112991039,-3.441966708,2,0,0,0,0,1,0,0,0,0,0,1,0,2
C4ME2OHNO3,6,4,1,0,163.173,33444.81605,-5.779612085,-2.370975172,-4.348962449,-1.402821869,1,0,0,0,0,0,0,0,1,0,0,0,1,0
